ITEMID	KEY	TYPE	CATEGORY	SECTION	DOMAIN	GRADELEVEL	DETAILS
509	CCSS.MATH.CONTENT.HSF.IF.B	cluster	High School: Functions: Interpreting Functions	math-content-standards	Interpreting Functions	9-12	Interpret functions that arise in applications in terms of the context.
510	CCSS.MATH.CONTENT.HSF.IF.B.4	standard	High School: Functions: Interpreting Functions	math-content-standards	Interpreting Functions	9-12	For a function that models a relationship between two quantities, interpret key features of graphs and tables in terms of the quantities, and sketch graphs showing key features given a verbal description of the relationship. Key features include: intercepts; intervals where the function is increasing, decreasing, positive, or negative; relative maximums and minimums; symmetries; end behavior; and periodicity.
511	CCSS.MATH.CONTENT.HSF.IF.B.5	standard	High School: Functions: Interpreting Functions	math-content-standards	Interpreting Functions	9-12	Relate the domain of a function to its graph and, where applicable, to the quantitative relationship it describes.
512	CCSS.MATH.CONTENT.HSF.IF.B.6	standard	High School: Functions: Interpreting Functions	math-content-standards	Interpreting Functions	9-12	Calculate and interpret the average rate of change of a function (presented symbolically or as a table) over a specified interval. Estimate the rate of change from a graph.
513	CCSS.MATH.CONTENT.HSF.IF.C	cluster	High School: Functions: Interpreting Functions	math-content-standards	Interpreting Functions	9-12	Analyze functions using different representations.
514	CCSS.MATH.CONTENT.HSF.IF.C.7	standard	High School: Functions: Interpreting Functions	math-content-standards	Interpreting Functions	9-12	Graph functions expressed symbolically and show key features of the graph, by hand in simple cases and using technology for more complicated cases.
515	CCSS.MATH.CONTENT.HSF.IF.C.7.A	substandard	High School: Functions: Interpreting Functions	math-content-standards	Interpreting Functions	9-12	Graph linear and quadratic functions and show intercepts, maxima, and minima.
516	CCSS.MATH.CONTENT.HSF.IF.C.7.B	substandard	High School: Functions: Interpreting Functions	math-content-standards	Interpreting Functions	9-12	Graph square root, cube root, and piecewise-defined functions, including step functions and absolute value functions.
517	CCSS.MATH.CONTENT.HSF.IF.C.7.C	substandard	High School: Functions: Interpreting Functions	math-content-standards	Interpreting Functions	9-12	Graph polynomial functions, identifying zeros when suitable factorizations are available, and showing end behavior.
518	CCSS.MATH.CONTENT.HSF.IF.C.7.D	substandard	High School: Functions: Interpreting Functions	math-content-standards	Interpreting Functions	9-12	(+) Graph rational functions, identifying zeros and asymptotes when suitable factorizations are available, and showing end behavior.
519	CCSS.MATH.CONTENT.HSF.IF.C.7.E	substandard	High School: Functions: Interpreting Functions	math-content-standards	Interpreting Functions	9-12	Graph exponential and logarithmic functions, showing intercepts and end behavior, and trigonometric functions, showing period, midline, and amplitude.
520	CCSS.MATH.CONTENT.HSF.IF.C.8	standard	High School: Functions: Interpreting Functions	math-content-standards	Interpreting Functions	9-12	Write a function defined by an expression in different but equivalent forms to reveal and explain different properties of the function.
521	CCSS.MATH.CONTENT.HSF.IF.C.8.A	substandard	High School: Functions: Interpreting Functions	math-content-standards	Interpreting Functions	9-12	Use the process of factoring and completing the square in a quadratic function to show zeros, extreme values, and symmetry of the graph, and interpret these in terms of a context.
522	CCSS.MATH.CONTENT.HSF.IF.C.8.B	substandard	High School: Functions: Interpreting Functions	math-content-standards	Interpreting Functions	9-12	Use the properties of exponents to interpret expressions for exponential functions.
523	CCSS.MATH.CONTENT.HSF.IF.C.9	standard	High School: Functions: Interpreting Functions	math-content-standards	Interpreting Functions	9-12	Compare properties of two functions each represented in a different way (algebraically, graphically, numerically in tables, or by verbal descriptions).
524	CCSS.MATH.CONTENT.HSF.BF.A	cluster	High School: Functions: Building Functions	math-content-standards	Building Functions	9-12	Build a function that models a relationship between two quantities.
525	CCSS.MATH.CONTENT.HSF.BF.A.1	standard	High School: Functions: Building Functions	math-content-standards	Building Functions	9-12	Write a function that describes a relationship between two quantities.
526	CCSS.MATH.CONTENT.HSF.BF.A.1.A	substandard	High School: Functions: Building Functions	math-content-standards	Building Functions	9-12	Determine an explicit expression, a recursive process, or steps for calculation from a context.
527	CCSS.MATH.CONTENT.HSF.BF.A.1.B	substandard	High School: Functions: Building Functions	math-content-standards	Building Functions	9-12	Combine standard function types using arithmetic operations.
528	CCSS.MATH.CONTENT.HSF.BF.A.1.C	substandard	High School: Functions: Building Functions	math-content-standards	Building Functions	9-12	(+) Compose functions.
529	CCSS.MATH.CONTENT.HSF.BF.A.2	standard	High School: Functions: Building Functions	math-content-standards	Building Functions	9-12	Write arithmetic and geometric sequences both recursively and with an explicit formula, use them to model situations, and translate between the two forms.
530	CCSS.MATH.CONTENT.HSF.BF.B	cluster	High School: Functions: Building Functions	math-content-standards	Building Functions	9-12	Build new functions from existing functions.
531	CCSS.MATH.CONTENT.HSF.BF.B.3	standard	High School: Functions: Building Functions	math-content-standards	Building Functions	9-12	Identify the effect on the graph of replacing f(x) by f(x) + k, k f(x), f(kx), and f(x + k) for specific values of k (both positive and negative); find the value of k given the graphs. Experiment with cases and illustrate an explanation of the effects on the graph using technology. Include recognizing even and odd functions from their graphs and algebraic expressions for them.
532	CCSS.MATH.CONTENT.HSF.BF.B.4	standard	High School: Functions: Building Functions	math-content-standards	Building Functions	9-12	Find inverse functions.
533	CCSS.MATH.CONTENT.HSF.BF.B.4.A	substandard	High School: Functions: Building Functions	math-content-standards	Building Functions	9-12	Solve an equation of the form f(x) = c for a simple function f that has an inverse and write an expression for the inverse.
534	CCSS.MATH.CONTENT.HSF.BF.B.4.B	substandard	High School: Functions: Building Functions	math-content-standards	Building Functions	9-12	(+) Verify by composition that one function is the inverse of another.
535	CCSS.MATH.CONTENT.HSF.BF.B.4.C	substandard	High School: Functions: Building Functions	math-content-standards	Building Functions	9-12	(+) Read values of an inverse function from a graph or a table, given that the function has an inverse.
536	CCSS.MATH.CONTENT.HSF.BF.B.4.D	substandard	High School: Functions: Building Functions	math-content-standards	Building Functions	9-12	(+) Produce an invertible function from a non-invertible function by restricting the domain.
537	CCSS.MATH.CONTENT.HSF.BF.B.5	standard	High School: Functions: Building Functions	math-content-standards	Building Functions	9-12	(+) Understand the inverse relationship between exponents and logarithms and use this relationship to solve problems involving logarithms and exponents.
538	CCSS.MATH.CONTENT.HSF.LE.A	cluster	High School: Functions: Linear, Quadratic, and Exponential Models	math-content-standards	Linear, Quadratic, and Exponential Models	9-12	Construct and compare linear, quadratic, and exponential models and solve problems.
539	CCSS.MATH.CONTENT.HSF.LE.A.1	standard	High School: Functions: Linear, Quadratic, and Exponential Models	math-content-standards	Linear, Quadratic, and Exponential Models	9-12	Distinguish between situations that can be modeled with linear functions and with exponential functions.
540	CCSS.MATH.CONTENT.HSF.LE.A.1.A	substandard	High School: Functions: Linear, Quadratic, and Exponential Models	math-content-standards	Linear, Quadratic, and Exponential Models	9-12	Prove that linear functions grow by equal differences over equal intervals, and that exponential functions grow by equal factors over equal intervals.
541	CCSS.MATH.CONTENT.HSF.LE.A.1.B	substandard	High School: Functions: Linear, Quadratic, and Exponential Models	math-content-standards	Linear, Quadratic, and Exponential Models	9-12	Recognize situations in which one quantity changes at a constant rate per unit interval relative to another.
542	CCSS.MATH.CONTENT.HSF.LE.A.1.C	substandard	High School: Functions: Linear, Quadratic, and Exponential Models	math-content-standards	Linear, Quadratic, and Exponential Models	9-12	Recognize situations in which a quantity grows or decays by a constant percent rate per unit interval relative to another.
543	CCSS.MATH.CONTENT.HSF.LE.A.2	standard	High School: Functions: Linear, Quadratic, and Exponential Models	math-content-standards	Linear, Quadratic, and Exponential Models	9-12	Construct linear and exponential functions, including arithmetic and geometric sequences, given a graph, a description of a relationship, or two input-output pairs (include reading these from a table).
544	CCSS.MATH.CONTENT.HSF.LE.A.3	standard	High School: Functions: Linear, Quadratic, and Exponential Models	math-content-standards	Linear, Quadratic, and Exponential Models	9-12	Observe using graphs and tables that a quantity increasing exponentially eventually exceeds a quantity increasing linearly, quadratically, or (more generally) as a polynomial function.
545	CCSS.MATH.CONTENT.HSF.LE.A.4	standard	High School: Functions: Linear, Quadratic, and Exponential Models	math-content-standards	Linear, Quadratic, and Exponential Models	9-12	For exponential models, express as a logarithm the solution to abᶜᵗ = d where a, c, and d are numbers and the base b is 2, 10, or e; evaluate the logarithm using technology.
546	CCSS.MATH.CONTENT.HSF.LE.B	cluster	High School: Functions: Linear, Quadratic, and Exponential Models	math-content-standards	Linear, Quadratic, and Exponential Models	9-12	Interpret expressions for functions in terms of the situation they model.
547	CCSS.MATH.CONTENT.HSF.LE.B.5	standard	High School: Functions: Linear, Quadratic, and Exponential Models	math-content-standards	Linear, Quadratic, and Exponential Models	9-12	Interpret the parameters in a linear or exponential function in terms of a context.
548	CCSS.MATH.CONTENT.HSF.TF.A	cluster	High School: Functions: Trigonometric Functions	math-content-standards	Trigonometric Functions	9-12	Extend the domain of trigonometric functions using the unit circle.
549	CCSS.MATH.CONTENT.HSF.TF.A.1	standard	High School: Functions: Trigonometric Functions	math-content-standards	Trigonometric Functions	9-12	Understand radian measure of an angle as the length of the arc on the unit circle subtended by the angle.
550	CCSS.MATH.CONTENT.HSF.TF.A.2	standard	High School: Functions: Trigonometric Functions	math-content-standards	Trigonometric Functions	9-12	Explain how the unit circle in the coordinate plane enables the extension of trigonometric functions to all real numbers, interpreted as radian measures of angles traversed counterclockwise around the unit circle.
551	CCSS.MATH.CONTENT.HSF.TF.A.3	standard	High School: Functions: Trigonometric Functions	math-content-standards	Trigonometric Functions	9-12	(+) Use special triangles to determine geometrically the values of sine, cosine, tangent for π/3, π/4 and π/6, and use the unit circle to express the values of sine, cosine, and tangent for x, π + x, and 2π - x in terms of their values for x, where x is any real number.
552	CCSS.MATH.CONTENT.HSF.TF.A.4	standard	High School: Functions: Trigonometric Functions	math-content-standards	Trigonometric Functions	9-12	(+) Use the unit circle to explain symmetry (odd and even) and periodicity of trigonometric functions.
553	CCSS.MATH.CONTENT.HSF.TF.B	cluster	High School: Functions: Trigonometric Functions	math-content-standards	Trigonometric Functions	9-12	Model periodic phenomena with trigonometric functions.
554	CCSS.MATH.CONTENT.HSF.TF.B.5	standard	High School: Functions: Trigonometric Functions	math-content-standards	Trigonometric Functions	9-12	Choose trigonometric functions to model periodic phenomena with specified amplitude, frequency, and midline.
555	CCSS.MATH.CONTENT.HSF.TF.B.6	standard	High School: Functions: Trigonometric Functions	math-content-standards	Trigonometric Functions	9-12	(+) Understand that restricting a trigonometric function to a domain on which it is always increasing or always decreasing allows its inverse to be constructed.
556	CCSS.MATH.CONTENT.HSF.TF.B.7	standard	High School: Functions: Trigonometric Functions	math-content-standards	Trigonometric Functions	9-12	(+) Use inverse functions to solve trigonometric equations that arise in modeling contexts; evaluate the solutions using technology, and interpret them in terms of the context.
557	CCSS.MATH.CONTENT.HSF.TF.C	cluster	High School: Functions: Trigonometric Functions	math-content-standards	Trigonometric Functions	9-12	Prove and apply trigonometric identities.
558	CCSS.MATH.CONTENT.HSF.TF.C.8	standard	High School: Functions: Trigonometric Functions	math-content-standards	Trigonometric Functions	9-12	Prove the Pythagorean identity sin2(θ) + cos2(θ) = 1 and use it to find sin(θ), cos(θ), or tan(θ) given sin(θ), cos(θ), or tan(θ) and the quadrant of the angle.
559	CCSS.MATH.CONTENT.HSF.TF.C.9	standard	High School: Functions: Trigonometric Functions	math-content-standards	Trigonometric Functions	9-12	(+) Prove the addition and subtraction formulas for sine, cosine, and tangent and use them to solve problems.
560	CCSS.MATH.CONTENT.HSG.C.A	cluster	High School: Geometry: Circles	math-content-standards	Circles	9-12	Understand and apply theorems about circles
561	CCSS.MATH.CONTENT.HSG.C.A.1	standard	High School: Geometry: Circles	math-content-standards	Circles	9-12	Prove that all circles are similar.
562	CCSS.MATH.CONTENT.HSG.C.A.2	standard	High School: Geometry: Circles	math-content-standards	Circles	9-12	Identify and describe relationships among inscribed angles, radii, and chords. Include the relationship between central, inscribed, and circumscribed angles; inscribed angles on a diameter are right angles; the radius of a circle is perpendicular to the tangent where the radius intersects the circle.
563	CCSS.MATH.CONTENT.HSG.C.A.3	standard	High School: Geometry: Circles	math-content-standards	Circles	9-12	Construct the inscribed and circumscribed circles of a triangle, and prove properties of angles for a quadrilateral inscribed in a circle.
564	CCSS.MATH.CONTENT.HSG.C.A.4	standard	High School: Geometry: Circles	math-content-standards	Circles	9-12	(+) Construct a tangent line from a point outside a given circle to the circle.
565	CCSS.MATH.CONTENT.HSG.C.B	cluster	High School: Geometry: Circles	math-content-standards	Circles	9-12	Find arc lengths and areas of sectors of circles
566	CCSS.MATH.CONTENT.HSG.C.B.5	standard	High School: Geometry: Circles	math-content-standards	Circles	9-12	Derive using similarity the fact that the length of the arc intercepted by an angle is proportional to the radius, and define the radian measure of the angle as the constant of proportionality; derive the formula for the area of a sector.
567	CCSS.MATH.CONTENT.HSG.CO.A	cluster	High School: Geometry: Congruence	math-content-standards	Congruence	9-12	Experiment with transformations in the plane
568	CCSS.MATH.CONTENT.HSG.CO.A.1	standard	High School: Geometry: Congruence	math-content-standards	Congruence	9-12	Know precise definitions of angle, circle, perpendicular line, parallel line, and line segment, based on the undefined notions of point, line, distance along a line, and distance around a circular arc.
569	CCSS.MATH.CONTENT.HSG.CO.A.2	standard	High School: Geometry: Congruence	math-content-standards	Congruence	9-12	Represent transformations in the plane using, e.g., transparencies and geometry software; describe transformations as functions that take points in the plane as inputs and give other points as outputs. Compare transformations that preserve distance and angle to those that do not (e.g., translation versus horizontal stretch).
570	CCSS.MATH.CONTENT.HSG.CO.A.3	standard	High School: Geometry: Congruence	math-content-standards	Congruence	9-12	Given a rectangle, parallelogram, trapezoid, or regular polygon, describe the rotations and reflections that carry it onto itself.
571	CCSS.MATH.CONTENT.HSG.CO.A.4	standard	High School: Geometry: Congruence	math-content-standards	Congruence	9-12	Develop definitions of rotations, reflections, and translations in terms of angles, circles, perpendicular lines, parallel lines, and line segments.
572	CCSS.MATH.CONTENT.HSG.CO.A.5	standard	High School: Geometry: Congruence	math-content-standards	Congruence	9-12	Given a geometric figure and a rotation, reflection, or translation, draw the transformed figure using, e.g., graph paper, tracing paper, or geometry software. Specify a sequence of transformations that will carry a given figure onto another.
573	CCSS.MATH.CONTENT.HSG.CO.B	cluster	High School: Geometry: Congruence	math-content-standards	Congruence	9-12	Understand congruence in terms of rigid motions
574	CCSS.MATH.CONTENT.HSG.CO.B.6	standard	High School: Geometry: Congruence	math-content-standards	Congruence	9-12	Use geometric descriptions of rigid motions to transform figures and to predict the effect of a given rigid motion on a given figure; given two figures, use the definition of congruence in terms of rigid motions to decide if they are congruent.
575	CCSS.MATH.CONTENT.HSG.CO.B.7	standard	High School: Geometry: Congruence	math-content-standards	Congruence	9-12	Use the definition of congruence in terms of rigid motions to show that two triangles are congruent if and only if corresponding pairs of sides and corresponding pairs of angles are congruent.
576	CCSS.MATH.CONTENT.HSG.CO.B.8	standard	High School: Geometry: Congruence	math-content-standards	Congruence	9-12	Explain how the criteria for triangle congruence (ASA, SAS, and SSS) follow from the definition of congruence in terms of rigid motions.
577	CCSS.MATH.CONTENT.HSG.CO.C	cluster	High School: Geometry: Congruence	math-content-standards	Congruence	9-12	Prove geometric theorems
578	CCSS.MATH.CONTENT.HSG.CO.C.10	standard	High School: Geometry: Congruence	math-content-standards	Congruence	9-12	Prove theorems about triangles. Theorems include: measures of interior angles of a triangle sum to 180°; base angles of isosceles triangles are congruent; the segment joining midpoints of two sides of a triangle is parallel to the third side and half the length; the medians of a triangle meet at a point.
579	CCSS.MATH.CONTENT.HSG.CO.C.11	standard	High School: Geometry: Congruence	math-content-standards	Congruence	9-12	Prove theorems about parallelograms. Theorems include: opposite sides are congruent, opposite angles are congruent, the diagonals of a parallelogram bisect each other, and conversely, rectangles are parallelograms with congruent diagonals.
580	CCSS.MATH.CONTENT.HSG.CO.C.9	standard	High School: Geometry: Congruence	math-content-standards	Congruence	9-12	Prove theorems about lines and angles. Theorems include: vertical angles are congruent; when a transversal crosses parallel lines, alternate interior angles are congruent and corresponding angles are congruent; points on a perpendicular bisector of a line segment are exactly those equidistant from the segment's endpoints.
581	CCSS.MATH.CONTENT.HSG.CO.D	cluster	High School: Geometry: Congruence	math-content-standards	Congruence	9-12	Make geometric constructions
582	CCSS.MATH.CONTENT.HSG.CO.D.12	standard	High School: Geometry: Congruence	math-content-standards	Congruence	9-12	Make formal geometric constructions with a variety of tools and methods (compass and straightedge, string, reflective devices, paper folding, dynamic geometric software, etc.). Copying a segment; copying an angle; bisecting a segment; bisecting an angle; constructing perpendicular lines, including the perpendicular bisector of a line segment; and constructing a line parallel to a given line through a point not on the line.
583	CCSS.MATH.CONTENT.HSG.CO.D.13	standard	High School: Geometry: Congruence	math-content-standards	Congruence	9-12	Construct an equilateral triangle, a square, and a regular hexagon inscribed in a circle.
584	CCSS.MATH.CONTENT.HSG.SRT.A	cluster	High School: Geometry: Similarity, Right Triangles, and Trigonometry	math-content-standards	Similarity, Right Triangles, and Trigonometry	9-12	Understand similarity in terms of similarity transformations
585	CCSS.MATH.CONTENT.HSG.SRT.A.1	standard	High School: Geometry: Similarity, Right Triangles, and Trigonometry	math-content-standards	Similarity, Right Triangles, and Trigonometry	9-12	Verify experimentally the properties of dilations given by a center and a scale factor:
586	CCSS.MATH.CONTENT.HSG.SRT.A.1.A	substandard	High School: Geometry: Similarity, Right Triangles, and Trigonometry	math-content-standards	Similarity, Right Triangles, and Trigonometry	9-12	A dilation takes a line not passing through the center of the dilation to a parallel line, and leaves a line passing through the center unchanged.
587	CCSS.MATH.CONTENT.HSG.SRT.A.1.B	substandard	High School: Geometry: Similarity, Right Triangles, and Trigonometry	math-content-standards	Similarity, Right Triangles, and Trigonometry	9-12	The dilation of a line segment is longer or shorter in the ratio given by the scale factor.
588	CCSS.MATH.CONTENT.HSG.SRT.A.2	standard	High School: Geometry: Similarity, Right Triangles, and Trigonometry	math-content-standards	Similarity, Right Triangles, and Trigonometry	9-12	Given two figures, use the definition of similarity in terms of similarity transformations to decide if they are similar; explain using similarity transformations the meaning of similarity for triangles as the equality of all corresponding pairs of angles and the proportionality of all corresponding pairs of sides.
589	CCSS.MATH.CONTENT.HSG.SRT.A.3	standard	High School: Geometry: Similarity, Right Triangles, and Trigonometry	math-content-standards	Similarity, Right Triangles, and Trigonometry	9-12	Use the properties of similarity transformations to establish the AA criterion for two triangles to be similar.
590	CCSS.MATH.CONTENT.HSG.SRT.B	cluster	High School: Geometry: Similarity, Right Triangles, and Trigonometry	math-content-standards	Similarity, Right Triangles, and Trigonometry	9-12	Prove theorems involving similarity
591	CCSS.MATH.CONTENT.HSG.SRT.B.4	standard	High School: Geometry: Similarity, Right Triangles, and Trigonometry	math-content-standards	Similarity, Right Triangles, and Trigonometry	9-12	Prove theorems about triangles. Theorems include: a line parallel to one side of a triangle divides the other two proportionally, and conversely; the Pythagorean Theorem proved using triangle similarity.
592	CCSS.MATH.CONTENT.HSG.SRT.B.5	standard	High School: Geometry: Similarity, Right Triangles, and Trigonometry	math-content-standards	Similarity, Right Triangles, and Trigonometry	9-12	Use congruence and similarity criteria for triangles to solve problems and to prove relationships in geometric figures.
593	CCSS.MATH.CONTENT.HSG.SRT.C	cluster	High School: Geometry: Similarity, Right Triangles, and Trigonometry	math-content-standards	Similarity, Right Triangles, and Trigonometry	9-12	Define trigonometric ratios and solve problems involving right triangles
594	CCSS.MATH.CONTENT.HSG.SRT.C.6	standard	High School: Geometry: Similarity, Right Triangles, and Trigonometry	math-content-standards	Similarity, Right Triangles, and Trigonometry	9-12	Understand that by similarity, side ratios in right triangles are properties of the angles in the triangle, leading to definitions of trigonometric ratios for acute angles.
595	CCSS.MATH.CONTENT.HSG.SRT.C.7	standard	High School: Geometry: Similarity, Right Triangles, and Trigonometry	math-content-standards	Similarity, Right Triangles, and Trigonometry	9-12	Explain and use the relationship between the sine and cosine of complementary angles.
596	CCSS.MATH.CONTENT.HSG.SRT.C.8	standard	High School: Geometry: Similarity, Right Triangles, and Trigonometry	math-content-standards	Similarity, Right Triangles, and Trigonometry	9-12	Use trigonometric ratios and the Pythagorean Theorem to solve right triangles in applied problems.
597	CCSS.MATH.CONTENT.HSG.SRT.D	cluster	High School: Geometry: Similarity, Right Triangles, and Trigonometry	math-content-standards	Similarity, Right Triangles, and Trigonometry	9-12	Apply trigonometry to general triangles
598	CCSS.MATH.CONTENT.HSG.SRT.D.10	standard	High School: Geometry: Similarity, Right Triangles, and Trigonometry	math-content-standards	Similarity, Right Triangles, and Trigonometry	9-12	(+) Prove the Laws of Sines and Cosines and use them to solve problems.
599	CCSS.MATH.CONTENT.HSG.SRT.D.11	standard	High School: Geometry: Similarity, Right Triangles, and Trigonometry	math-content-standards	Similarity, Right Triangles, and Trigonometry	9-12	(+) Understand and apply the Law of Sines and the Law of Cosines to find unknown measurements in right and non-right triangles (e.g., surveying problems, resultant forces).
600	CCSS.MATH.CONTENT.HSG.SRT.D.9	standard	High School: Geometry: Similarity, Right Triangles, and Trigonometry	math-content-standards	Similarity, Right Triangles, and Trigonometry	9-12	(+) Derive the formula A = 1/2 ab sin(C) for the area of a triangle by drawing an auxiliary line from a vertex perpendicular to the opposite side.
601	CCSS.MATH.CONTENT.HSG.GPE.A	cluster	High School: Geometry: Expressing Geometric Properties with Equations	math-content-standards	Expressing Geometric Properties with Equations	9-12	Translate between the geometric description and the equation for a conic section
602	CCSS.MATH.CONTENT.HSG.GPE.A.1	standard	High School: Geometry: Expressing Geometric Properties with Equations	math-content-standards	Expressing Geometric Properties with Equations	9-12	Derive the equation of a circle of given center and radius using the Pythagorean Theorem; complete the square to find the center and radius of a circle given by an equation.
603	CCSS.MATH.CONTENT.HSG.GPE.A.2	standard	High School: Geometry: Expressing Geometric Properties with Equations	math-content-standards	Expressing Geometric Properties with Equations	9-12	Derive the equation of a parabola given a focus and directrix.
604	CCSS.MATH.CONTENT.HSG.GPE.A.3	standard	High School: Geometry: Expressing Geometric Properties with Equations	math-content-standards	Expressing Geometric Properties with Equations	9-12	(+) Derive the equations of ellipses and hyperbolas given the foci, using the fact that the sum or difference of distances from the foci is constant.
605	CCSS.MATH.CONTENT.HSG.GPE.B	cluster	High School: Geometry: Expressing Geometric Properties with Equations	math-content-standards	Expressing Geometric Properties with Equations	9-12	Use coordinates to prove simple geometric theorems algebraically
606	CCSS.MATH.CONTENT.HSG.GPE.B.4	standard	High School: Geometry: Expressing Geometric Properties with Equations	math-content-standards	Expressing Geometric Properties with Equations	9-12	Use coordinates to prove simple geometric theorems algebraically.
607	CCSS.MATH.CONTENT.HSG.GPE.B.5	standard	High School: Geometry: Expressing Geometric Properties with Equations	math-content-standards	Expressing Geometric Properties with Equations	9-12	Prove the slope criteria for parallel and perpendicular lines and use them to solve geometric problems (e.g., find the equation of a line parallel or perpendicular to a given line that passes through a given point).
608	CCSS.MATH.CONTENT.HSG.GPE.B.6	standard	High School: Geometry: Expressing Geometric Properties with Equations	math-content-standards	Expressing Geometric Properties with Equations	9-12	Find the point on a directed line segment between two given points that partitions the segment in a given ratio.
609	CCSS.MATH.CONTENT.HSG.GPE.B.7	standard	High School: Geometry: Expressing Geometric Properties with Equations	math-content-standards	Expressing Geometric Properties with Equations	9-12	Use coordinates to compute perimeters of polygons and areas of triangles and rectangles, e.g., using the distance formula.
610	CCSS.MATH.CONTENT.HSG.GMD.A	cluster	High School: Geometry: Geometric Measurement and Dimension	math-content-standards	Geometric Measurement and Dimension	9-12	Explain volume formulas and use them to solve problems
611	CCSS.MATH.CONTENT.HSG.GMD.A.1	standard	High School: Geometry: Geometric Measurement and Dimension	math-content-standards	Geometric Measurement and Dimension	9-12	Give an informal argument for the formulas for the circumference of a circle, area of a circle, volume of a cylinder, pyramid, and cone. Use dissection arguments, Cavalieri's principle, and informal limit arguments.
612	CCSS.MATH.CONTENT.HSG.GMD.A.2	standard	High School: Geometry: Geometric Measurement and Dimension	math-content-standards	Geometric Measurement and Dimension	9-12	(+) Give an informal argument using Cavalieri's principle for the formulas for the volume of a sphere and other solid figures.
613	CCSS.MATH.CONTENT.HSG.GMD.A.3	standard	High School: Geometry: Geometric Measurement and Dimension	math-content-standards	Geometric Measurement and Dimension	9-12	Use volume formulas for cylinders, pyramids, cones, and spheres to solve problems.
614	CCSS.MATH.CONTENT.HSG.GMD.B	cluster	High School: Geometry: Geometric Measurement and Dimension	math-content-standards	Geometric Measurement and Dimension	9-12	Visualize relationships between two-dimensional and three-dimensional objects
615	CCSS.MATH.CONTENT.HSG.GMD.B.4	standard	High School: Geometry: Geometric Measurement and Dimension	math-content-standards	Geometric Measurement and Dimension	9-12	Identify the shapes of two-dimensional cross-sections of three-dimensional objects, and identify three-dimensional objects generated by rotations of two-dimensional objects.
616	CCSS.MATH.CONTENT.HSG.MG.A	cluster	High School: Geometry: Modeling with Geometry	math-content-standards	Modeling with Geometry	9-12	Apply geometric concepts in modeling situations
617	CCSS.MATH.CONTENT.HSG.MG.A.1	standard	High School: Geometry: Modeling with Geometry	math-content-standards	Modeling with Geometry	9-12	Use geometric shapes, their measures, and their properties to describe objects (e.g., modeling a tree trunk or a human torso as a cylinder).
618	CCSS.MATH.CONTENT.HSG.MG.A.2	standard	High School: Geometry: Modeling with Geometry	math-content-standards	Modeling with Geometry	9-12	Apply concepts of density based on area and volume in modeling situations (e.g., persons per square mile, BTUs per cubic foot).
619	CCSS.MATH.CONTENT.HSG.MG.A.3	standard	High School: Geometry: Modeling with Geometry	math-content-standards	Modeling with Geometry	9-12	Apply geometric methods to solve design problems (e.g., designing an object or structure to satisfy physical constraints or minimize cost; working with typographic grid systems based on ratios).
620	CCSS.MATH.CONTENT.HSS.ID.A	cluster	High School: Statistics and Probability: Interpreting Categorical and Quantitative Data	math-content-standards	Interpreting Categorical and Quantitative Data	9-12	Summarize, represent, and interpret data on a single count or measurement variable
621	CCSS.MATH.CONTENT.HSS.ID.A.1	standard	High School: Statistics and Probability: Interpreting Categorical and Quantitative Data	math-content-standards	Interpreting Categorical and Quantitative Data	9-12	Represent data with plots on the real number line (dot plots, histograms, and box plots).
622	CCSS.MATH.CONTENT.HSS.ID.A.2	standard	High School: Statistics and Probability: Interpreting Categorical and Quantitative Data	math-content-standards	Interpreting Categorical and Quantitative Data	9-12	Use statistics appropriate to the shape of the data distribution to compare center (median, mean) and spread (interquartile range, standard deviation) of two or more different data sets.
623	CCSS.MATH.CONTENT.HSS.ID.A.3	standard	High School: Statistics and Probability: Interpreting Categorical and Quantitative Data	math-content-standards	Interpreting Categorical and Quantitative Data	9-12	Interpret differences in shape, center, and spread in the context of the data sets, accounting for possible effects of extreme data points (outliers).
624	CCSS.MATH.CONTENT.HSS.ID.A.4	standard	High School: Statistics and Probability: Interpreting Categorical and Quantitative Data	math-content-standards	Interpreting Categorical and Quantitative Data	9-12	Use the mean and standard deviation of a data set to fit it to a normal distribution and to estimate population percentages. Recognize that there are data sets for which such a procedure is not appropriate. Use calculators, spreadsheets, and tables to estimate areas under the normal curve.
625	CCSS.MATH.CONTENT.HSS.ID.B	cluster	High School: Statistics and Probability: Interpreting Categorical and Quantitative Data	math-content-standards	Interpreting Categorical and Quantitative Data	9-12	Summarize, represent, and interpret data on two categorical and quantitative variables
626	CCSS.MATH.CONTENT.HSS.ID.B.5	standard	High School: Statistics and Probability: Interpreting Categorical and Quantitative Data	math-content-standards	Interpreting Categorical and Quantitative Data	9-12	Summarize categorical data for two categories in two-way frequency tables. Interpret relative frequencies in the context of the data (including joint, marginal, and conditional relative frequencies). Recognize possible associations and trends in the data.
627	CCSS.MATH.CONTENT.HSS.ID.B.6	standard	High School: Statistics and Probability: Interpreting Categorical and Quantitative Data	math-content-standards	Interpreting Categorical and Quantitative Data	9-12	Represent data on two quantitative variables on a scatter plot, and describe how the variables are related.
